k,lamda,x3,y3,"kP = (x3, y3)"
91,606,696,661,"(696, 661)"
92,541,597,328,"(597, 328)"
93,566,584,271,"(584, 271)"
94,194,253,108,"(253, 108)"
95,275,272,675,"(272, 675)"
96,164,339,353,"(339, 353)"
97,443,650,58,"(650, 58)"
98,598,229,115,"(229, 115)"
99,376,710,20,"(710, 20)"
100,27,19,613,"(19, 613)"
101,52,432,441,"(432, 441)"
102,586,508,83,"(508, 83)"
103,199,41,477,"(41, 477)"
104,149,381,682,"(381, 682)"
105,397,269,224,"(269, 224)"
106,421,487,371,"(487, 371)"
107,37,131,34,"(131, 34)"
108,628,729,673,"(729, 673)"
109,362,392,410,"(392, 410)"
110,571,466,143,"(466, 143)"
111,375,473,236,"(473, 236)"
112,557,364,397,"(364, 397)"
113,390,34,633,"(34, 633)"
114,118,372,37,"(372, 37)"
115,526,687,244,"(687, 244)"
116,49,212,501,"(212, 501)"
117,160,605,454,"(605, 454)"
118,555,261,463,"(261, 463)"
119,501,657,156,"(657, 156)"
120,258,570,511,"(570, 511)"
121,20,581,20,"(581, 20)"
122,329,267,399,"(267, 399)"
123,467,32,451,"(32, 451)"
124,636,426,550,"(426, 550)"
125,286,262,543,"(262, 543)"
126,422,586,162,"(586, 162)"
127,461,153,436,"(153, 436)"
128,236,720,181,"(720, 181)"
129,297,373,742,"(373, 742)"
130,154,62,590,"(62, 590)"
131,706,461,92,"(461, 92)"
132,146,578,99,"(578, 99)"
133,414,341,389,"(341, 389)"
134,152,233,256,"(233, 256)"
135,238,86,184,"(86, 184)"
136,382,144,190,"(144, 190)"
137,30,5,225,"(5, 225)"
138,120,126,275,"(126, 275)"
139,29,715,668,"(715, 668)"
140,576,621,155,"(621, 155)"
141,227,591,647,"(591, 647)"
142,3,169,619,"(169, 619)"
143,708,178,519,"(178, 519)"
144,486,204,363,"(204, 363)"
145,600,67,729,"(67, 729)"
146,420,599,380,"(599, 380)"
147,415,398,425,"(398, 425)"
148,119,245,509,"(245, 509)"
149,22,239,374,"(239, 374)"
150,707,195,694,"(195, 694)"
151,510,59,325,"(59, 325)"
152,381,159,627,"(159, 627)"
153,148,717,150,"(717, 150)"
154,95,47,416,"(47, 416)"
155,640,258,475,"(258, 475)"
156,568,187,50,"(187, 50)"
157,685,414,663,"(414, 663)"
158,144,45,654,"(45, 654)"
159,123,64,13,"(64, 13)"
160,53,492,584,"(492, 584)"
161,727,84,138,"(84, 138)"
162,623,529,497,"(529, 497)"
163,287,732,571,"(732, 571)"
164,385,297,182,"(297, 182)"
165,543,160,611,"(160, 611)"
166,729,324,744,"(324, 744)"
167,372,627,692,"(627, 692)"
168,700,472,415,"(472, 415)"
169,444,653,329,"(653, 329)"
170,330,103,180,"(103, 180)"
171,246,333,316,"(333, 316)"
172,399,407,198,"(407, 198)"
173,197,101,4,"(101, 4)"
174,264,503,510,"(503, 510)"
175,272,634,657,"(634, 657)"
176,203,21,618,"(21, 618)"
177,691,575,329,"(575, 329)"
178,747,192,392,"(192, 392)"
179,313,147,175,"(147, 175)"
180,673,680,94,"(680, 94)"
181,554,579,286,"(579, 286)"
182,638,174,511,"(174, 511)"
183,195,301,258,"(301, 258)"
184,304,493,703,"(493, 703)"
185,741,358,200,"(358, 200)"
186,289,553,521,"(553, 521)"
187,572,697,472,"(697, 472)"
188,332,632,80,"(632, 80)"
189,703,170,274,"(170, 274)"
190,450,311,111,"(311, 111)"
191,726,314,715,"(314, 715)"
